id,sex,employment,married,income,digital3
100114,1,retired,0,3689,0
100115,0,employed,1,5610,.85196859
100116,0,student,0,31139,.86596298
100117,1,employed,0,13811,.3242633
100118,1,employed,0,10631,.68828124
100119,1,employed,1,9861,.57090884
100120,1,employed,0,6410,0
100121,0,retired,1,12581,.044893745
100122,0,student,0,0,.86551547
100123,0,retired,0,7987,.32138604
100124,0,employed,1,5405,0
100125,0,employed,1,5185,0
100126,1,employed,0,6288,.57563829
100127,1,employed,1,23613,.70848322
100128,0,retired,0,3158,0
100129,1,employed,0,11699,0
100130,1,employed,0,6068,.15615235
100131,0,employed,0,7827,0
100132,1,employed,1,6734,.17113848
100133,1,student,0,0,.85716593
100134,1,employed,0,5384,.034899566
100135,1,student,0,0,.76133788
100136,0,unemployed,0,0,.84033769
100137,1,employed,0,6764,0
100138,0,retired,0,12651,.38748962
100139,0,retired,0,3209,.28317145
100140,1,employed,1,60860,.91039109
100141,1,unemployed,1,0,.57890856
100142,0,employed,0,10686,.05657056
100143,0,unemployed,1,0,0
100144,1,employed,1,6140,0
100145,0,unemployed,1,9635,.7519936
100146,1,employed,1,7347,.73668784
100147,0,employed,0,7717,.63633549
100148,1,student,0,0,.20445281
100149,0,employed,0,28800,.12831528
100150,0,unemployed,1,0,.021586051
100151,0,retired,1,5624,.20830521
100152,1,employed,1,8860,.5980559
100153,1,employed,0,37822,.46016645
100154,1,employed,1,29773,.59646881
100155,1,student,0,9301,.61444932
100156,1,employed,1,25462,0
100157,0,employed,0,5785,0
100158,1,employed,1,20627,.69120705
100159,0,employed,0,33125,.72257185
100160,0,unemployed,1,0,0
100161,1,employed,1,8832,0
100162,0,retired,1,7560,.29269123
100163,0,employed,1,61995,0
100164,1,employed,0,8928,.83821797
100165,1,employed,1,14731,.73784614
100166,0,employed,1,21847,0
100167,1,employed,0,9352,0
100168,1,employed,0,16244,.14969389
100169,1,student,0,4578,.95275044
100170,0,employed,1,4875,0
100171,1,unemployed,1,0,0
100172,0,student,0,0,.79222298
100173,1,employed,1,11040,.82778192
100174,0,unemployed,1,0,0
100175,0,employed,0,22408,.79754269
100176,1,employed,0,8641,.0016918092
100177,1,unemployed,1,0,.81876308
100178,0,employed,0,9574,.74739641
100179,1,employed,1,19303,.80933851
100180,0,employed,1,25754,.73449552
100181,1,employed,1,24515,.6925745
100182,1,student,0,0,.80983531
100183,0,unemployed,0,23156,.33693007
100184,0,employed,1,17874,.66134191
100185,1,employed,1,6027,.66394478
100186,0,employed,1,112252,.099570252
100187,0,student,0,12909,.089470491
100188,1,unemployed,0,0,.26030973
100189,1,student,0,6406,.13519712
100190,0,employed,0,14116,.3504332
100191,0,employed,1,10041,.091916248
100192,1,employed,1,19926,.29953569
100193,1,employed,1,8645,0
100194,0,employed,1,15119,.50518084
100195,0,student,1,7664,.96421337
100196,1,employed,1,35382,.74299413
100197,1,retired,1,13758,.28433555
100198,0,employed,1,7182,0
100199,1,student,1,5307,.86695075
100200,1,employed,1,37319,0
100201,0,unemployed,1,0,.71978867
100202,0,employed,0,16209,.2993522
100203,1,employed,1,52950,.5110085
100204,1,employed,1,11920,0
100205,1,student,0,15944,.78208274
100206,0,unemployed,1,5753,.77586657
100207,1,employed,1,85509,.98168945
100208,0,unemployed,1,0,.32392558
100209,0,employed,1,7043,.12906209
100210,0,employed,0,8066,.53431487
100211,0,student,0,0,.83963722
100212,1,employed,1,5471,.63904989
100213,1,employed,0,13682,.89563912
100214,0,employed,0,5918,.61566883
100215,0,employed,0,13326,.81553596
100216,0,employed,1,6581,.389227
100217,0,employed,1,107716,.61253941
100218,0,employed,1,12050,.85104305
100219,0,employed,1,89303,.18506861
100220,1,employed,0,14903,.51423395
100221,0,student,0,0,.86665326
100222,0,unemployed,1,15410,0
100223,0,employed,1,15745,.70599157
100224,0,retired,0,5399,0
100225,0,employed,1,13388,.9759261
100226,0,employed,0,11864,.33101851
100227,0,employed,0,28903,.17170553
100228,0,student,0,0,0
100229,1,student,0,0,.86947465
100230,1,student,0,0,.88695872
100231,0,employed,1,17090,.81941175
100232,1,employed,1,6244,.090925179
100233,0,employed,1,51251,.63336921
100234,1,student,0,6898,.90077525
100235,1,employed,1,83703,.052202407
100236,0,employed,1,7034,0
100237,1,unemployed,1,0,.54824209
100238,1,employed,1,12749,.69267637
100239,0,retired,1,24684,0
100240,0,student,0,0,.90791959
100241,1,employed,1,10808,.26731622
100242,1,employed,1,18308,.098826155
100243,0,employed,0,8933,.29854614
100244,1,employed,1,14795,.41774306
100245,1,unemployed,1,25532,.61780429
100246,1,employed,0,24437,.82322389
100247,0,employed,1,6095,.59905332
100248,1,employed,1,20192,.84164888
100249,0,student,0,0,.75566709
100250,0,employed,0,22604,.38915601
100251,0,unemployed,1,18387,.11658131
100252,1,employed,1,21168,.53727919
100253,1,employed,1,6118,0
100254,1,employed,1,15332,.95034194
100255,0,unemployed,1,0,.51565319
100256,0,employed,1,16747,.79295278
100257,0,employed,1,7979,.55495363
100258,0,employed,1,4538,.7713812
100259,0,employed,1,9477,0
100260,0,student,0,0,.53389472
100261,0,retired,0,10573,0
100262,0,employed,1,16814,.11951133
100263,1,student,0,0,.72991407
100264,0,retired,0,4267,.23109683
100265,0,unemployed,0,9321,.72930509
100266,0,employed,1,5388,.91989142
100267,1,employed,1,10046,.66627634
100268,0,retired,1,5685,0
100269,1,employed,1,12069,.55608761
100270,1,employed,1,7485,0
100271,1,employed,1,9928,0
100272,0,employed,0,26725,.72856444
100273,0,unemployed,1,0,.51964563
100274,1,employed,1,15288,.86881238
100275,1,employed,0,10237,.8665393
100276,1,student,0,0,.82331985
100277,0,employed,1,34154,.47883767
100278,1,employed,1,36562,.80444854
100279,0,unemployed,1,0,0
100280,1,employed,1,11166,.99728423
100281,1,employed,1,13502,.61688364
100282,1,student,0,0,.14801392
100283,0,employed,0,91996,.67080212
100284,1,employed,1,8367,.53037411
100285,1,unemployed,1,6546,.73489225
100286,1,employed,0,31809,0
100287,1,employed,0,8607,.49946174
100288,0,employed,0,11082,.55294079
100289,1,employed,0,10493,0
100290,0,employed,1,5517,0
100291,0,retired,0,5008,.14311954
100292,1,employed,1,69284,.43852144
100293,1,employed,1,6687,.68329197
100294,1,employed,1,14021,.35292649
100295,1,employed,1,32319,0
100296,1,employed,0,16306,0
100297,0,retired,1,17726,.14709221
100298,1,student,0,0,.85718811
100299,1,employed,1,57386,.50923711
100300,1,employed,1,13759,0
100301,0,employed,1,10269,.84033114
100302,0,employed,0,30489,.61199039
100303,0,employed,1,8286,.55917507
100304,1,retired,0,3510,.2585867
100305,0,employed,1,7851,.47168681
100306,0,retired,1,3302,0
100307,0,student,1,0,.091838762
100308,1,employed,0,7504,.032151062
100309,1,employed,1,6200,.056255832
100310,0,employed,1,11161,.65773779
100311,1,unemployed,1,8365,.53071803
100312,0,employed,0,20090,.27010775
100313,1,student,1,7339,.12913124
100314,1,employed,1,8399,.5558666
100315,1,employed,1,9408,0
100316,0,unemployed,1,0,.74544001
100317,0,retired,1,14605,.018267374
100318,0,employed,1,6319,.63326734
100319,1,employed,0,6466,.57765847
100320,0,student,0,0,.85168028
100321,1,employed,0,5620,.13441706
100322,1,student,0,20828,.83195949
100323,1,retired,1,1589,0
100324,1,employed,1,8275,.0028676351
100325,1,employed,1,7656,.40926066
100326,1,employed,0,10148,0
100327,1,unemployed,1,0,0
100328,1,employed,1,11085,0
100329,1,student,0,4077,.96535325
100330,0,employed,1,22276,.80274332
100331,1,employed,0,14984,.66059303
100332,1,student,0,0,.96552867
100333,0,unemployed,1,0,.58949083
100334,1,retired,0,7896,.24013469
100335,0,student,0,10646,.62808543
100336,0,employed,1,21472,.69620723
100337,1,employed,1,13590,0
100338,1,employed,0,12184,.63128042
100339,1,unemployed,0,0,.8486293
100340,0,student,0,20421,.43878078
100341,1,unemployed,1,0,.62106365
100342,1,retired,1,3546,0
100343,1,student,0,3189,.50474554
100344,0,unemployed,1,17946,.18165629
100345,0,unemployed,1,0,.54555249
100346,1,retired,0,3630,.29115498
100347,1,employed,1,11516,.28607181
100348,0,retired,1,4920,0
100349,0,employed,1,5911,0
100350,1,employed,1,54129,0
100351,0,employed,1,25065,.21428914
100352,0,employed,1,315535,.22487099
100353,1,employed,0,10597,.69012302
100354,1,employed,1,70936,.59551406
100355,0,student,0,3659,.46441662
100356,1,employed,1,10814,.31274766
100357,1,student,0,7411,.83280969
100358,0,employed,0,40617,0
100359,1,employed,1,16560,0
100360,1,employed,1,8033,.34398845
100361,1,retired,1,3960,.31688708
100362,0,employed,1,16006,.73525804
100363,1,employed,1,10724,.2074419
100364,1,employed,1,9301,.18759945
100365,0,employed,0,12938,.51141661
100366,0,employed,0,6733,.65933549
100367,1,employed,0,304894,.71569949
100368,0,unemployed,1,0,.6542024
100369,1,employed,1,10385,.82317412
100370,1,unemployed,1,0,.53472811
100371,0,unemployed,1,5983,.39611778
100372,1,student,0,10281,.75373286
100373,0,employed,1,17758,.9022373
100374,1,student,0,0,0
100375,1,employed,1,16256,.73577499
100376,1,unemployed,1,0,.029165944
100377,1,employed,0,9096,.73501772
100378,1,employed,1,19866,.29653144
100379,0,retired,1,341630,.14024764
100380,0,employed,0,13507,.78090829
100381,1,employed,1,5289,.41858235
100382,0,student,0,47162,.99030375
100383,1,student,0,0,.91455013
100384,0,student,0,0,.87204778
100385,0,employed,0,12041,.54840916
100386,0,employed,0,10403,.032511547
100387,0,employed,0,23885,.64949709
100388,1,employed,1,12916,0
100389,1,employed,0,34694,.53116524
100390,1,retired,1,5577,.3394742
100391,0,employed,0,6328,.67390329
100392,0,employed,1,27827,.83206713
100393,1,student,0,0,.23445922
100394,1,employed,1,6801,.68306673
100395,1,employed,1,10716,.54940903
100396,1,student,0,0,.96691728
100397,1,retired,0,6027,.13949864
100398,1,student,0,0,.48325145
100399,0,student,1,0,.92841804
100400,0,employed,1,9004,.50595778
100401,1,employed,1,7029,.29100195
100402,1,retired,1,16348,0
100403,0,employed,1,7144,.79593855
100404,0,retired,0,8767,.15386437
100405,0,employed,1,12298,0
100406,0,retired,0,4803,.25465757
100407,1,unemployed,1,29828,.78490973
100408,0,employed,1,5602,.98604274
100409,1,unemployed,1,0,0
100410,1,employed,0,6529,0
100411,1,employed,0,28828,.71909595
100412,0,retired,0,6411,0
100413,0,retired,1,3295,.22499959
100414,1,student,0,0,.46880889
100415,1,employed,0,16695,.22871415
100416,1,retired,1,4524,0
100417,1,retired,0,27931,0
100418,0,employed,0,12484,.58750355
100419,1,employed,0,41996,0
100420,1,student,0,9130,.93413866
100421,0,employed,1,9340,.78795195
100422,0,employed,1,82191,.7023403
100423,1,retired,1,4831,0
100424,0,student,0,14370,.69014597
100425,1,employed,1,16622,0
100426,0,student,0,3700,.36893103
100427,1,unemployed,0,0,0
100428,0,unemployed,0,7877,.75055552
100429,1,student,0,2859,.22483866
100430,1,employed,1,53961,.40579432
100431,1,student,0,8808,0
100432,1,employed,1,63419,.27285281
100433,1,employed,1,5341,0
100434,0,employed,1,15216,.21305317
100435,0,student,1,0,.83664316
100436,0,employed,1,9432,.38066068
100437,0,employed,1,5523,.18933758
100438,0,employed,1,7318,.78753918
100439,0,retired,0,4162,0
100440,0,student,0,5936,.88376719
100441,1,employed,1,6102,.57296336
100442,1,employed,1,5941,.79670882
100443,0,employed,0,16853,0
100444,0,employed,1,15165,0
100445,0,unemployed,0,0,.79021829
100446,1,retired,1,32407,0
100447,1,employed,1,8138,0
100448,1,employed,0,6995,.62461996
100449,1,employed,1,15070,.62298125
100450,1,unemployed,0,0,0
100451,1,employed,1,7943,0
100452,1,employed,0,44164,.74702632
100453,0,student,0,0,.83061355
100454,0,employed,1,5308,.85121661
100455,1,employed,0,25499,.49106231
100456,0,employed,1,10518,.24967207
100457,0,retired,0,2964,.27695158
100458,1,student,0,9917,.85585332
100459,1,student,0,0,.34612429
100460,1,employed,0,14993,.7784186
100461,1,employed,0,86930,.19917244
100462,1,employed,1,6850,.92780483
100463,1,unemployed,0,5718,.63325489
100464,1,employed,1,32400,.18047845
100465,1,retired,0,6519,.29041126
100466,1,employed,1,12447,.71000814
100467,1,employed,1,36209,0
100468,1,employed,1,7604,.17150337
100469,0,student,0,8636,.93964159
100470,1,employed,0,9318,.94185477
100471,0,employed,1,15776,.84277797
100472,1,student,0,0,.76991063
100473,1,employed,1,12338,.48674059
100474,0,unemployed,1,0,.52158642
100475,1,employed,1,26419,.7550692
100476,1,student,0,0,.23421621
100477,0,employed,0,14641,.60225368
100478,0,retired,1,7785,0
100479,1,unemployed,0,16937,.63545436
100480,1,employed,0,9145,.18236081
100481,0,employed,1,8237,.72755438
100482,1,employed,1,18637,.72167432
100483,1,student,0,23351,.95950764
100484,0,student,0,4802,.5486843
100485,1,employed,1,8094,.54956084
100486,0,employed,1,31034,.075452887
100487,0,employed,1,33367,0
100488,1,retired,0,7456,.20574705
100489,1,employed,1,8980,.71986192
100490,1,employed,1,28464,0
100491,1,unemployed,1,0,0
100492,0,retired,1,3193,.028305387
100493,1,unemployed,1,0,.057229418
100494,0,employed,1,128416,.54605669
100495,1,unemployed,0,19307,.51583761
100496,1,employed,1,14953,.76577592
100497,1,employed,1,8049,.60271573
100498,1,student,0,0,.457964
100499,1,retired,1,5376,0
100500,1,employed,1,7022,.23933251
100501,1,employed,1,10685,.40830842
100502,0,employed,1,16556,.70367396
100503,0,retired,1,2899,.09515094
100504,1,employed,1,36406,.090668008
100505,0,employed,1,5562,.3569726
100506,1,unemployed,1,0,.84952855
100507,0,retired,1,2438,0
100508,1,employed,1,119761,.45184559
100509,0,retired,0,660,.14927916
100510,1,student,0,0,.84321702
100511,1,employed,1,9256,.5568434
100512,0,student,0,0,.085783489
100513,0,student,0,6929,.077924281
100514,1,student,0,0,.74808788
100515,0,unemployed,1,0,.42434168
100516,1,employed,1,9329,.25580361
100517,1,employed,1,5528,.031614751
100518,0,employed,1,14330,.13024764
100519,0,unemployed,1,0,.60345137
100520,0,employed,0,17189,.76696485
100521,0,employed,1,22316,0
100522,1,employed,0,7474,.58544546
100523,1,employed,0,10397,.65420061
100524,0,employed,1,14858,.6215204
100525,0,employed,0,14552,.45995975
100526,0,unemployed,1,0,.47289076
100527,1,unemployed,1,12468,.57292736
100528,1,retired,1,5851,.11765651
100529,1,employed,0,14376,.57004106
100530,0,employed,1,10784,0
100531,1,employed,1,8363,.93223202
100532,1,student,0,0,.86598903
100533,0,employed,1,5461,.75456488
100534,1,employed,0,7410,.93732309
100535,1,employed,1,33176,.61601073
100536,1,employed,1,95091,.34396571
100537,1,employed,0,6789,.75051028
100538,0,employed,1,15883,0
100539,1,employed,1,6661,.82295632
100540,0,unemployed,1,0,0
100541,1,student,1,0,.97050226
100542,0,employed,1,6283,.78582424
100543,0,employed,1,8680,.62751073
100544,0,retired,0,4089,0
100545,1,employed,1,13608,.84094787
100546,0,retired,1,2592,0
100547,1,employed,1,21888,.86940587
100548,1,employed,1,11068,.35536894
100549,0,unemployed,0,6304,.68531984
100550,1,student,0,0,.6696288
100551,0,student,0,4714,.85291284
100552,1,retired,0,22173,.27305537
100553,0,employed,1,137187,.586411
100554,1,employed,1,22747,0
100555,0,employed,1,9549,.50034523
100556,1,employed,0,9400,0
100557,1,employed,1,20599,.1033929
100558,0,employed,1,15789,.41435969
100559,1,employed,1,7143,.37125906
100560,1,student,0,13148,.8354342
100561,1,employed,1,53825,.18760158
100562,0,student,0,4549,.86162698
100563,0,employed,0,8096,.59517801
100564,0,unemployed,1,23336,0
100565,1,employed,1,7799,.52050811
100566,0,unemployed,1,16414,.63490385
100567,0,retired,0,3628,.24867339
100568,1,employed,1,15205,.86109364
100569,0,employed,0,19413,.75598025
100570,1,employed,1,28187,0
100571,1,unemployed,1,10881,0
100572,1,employed,1,8461,0
100573,0,employed,0,10007,.58034754
100574,0,unemployed,1,0,.62711853
100575,1,retired,1,3969,.26811916
100576,0,retired,1,6716,0
100577,0,employed,1,15196,0
100578,1,employed,0,18337,.052813549
100579,1,employed,0,7402,.037567575
100580,1,student,0,4898,.98105669
100581,1,student,0,23035,.17872362
100582,1,student,0,0,.7413522
100583,0,employed,1,24412,.61441553
100584,1,unemployed,0,7166,.93684429
100585,1,retired,1,5921,.20705958
100586,1,student,0,0,.47638601
100587,1,student,0,10165,.87803638
100588,1,retired,0,5512,.34607917
100589,1,retired,1,5911,0
100590,1,unemployed,0,30401,.066292644
100591,1,employed,0,10378,.23813364
100592,1,student,1,0,.57843089
100593,0,retired,0,3425,.27381009
100594,0,employed,1,5050,.63713634
100595,1,employed,1,15246,.7969147
100596,0,student,0,0,.43599278
100597,0,employed,1,20212,0
100598,1,employed,1,22546,.5610705
100599,1,unemployed,0,15178,0
100600,1,employed,1,8067,.75607812
100601,0,student,0,0,.84709126
100602,0,employed,1,39348,.58279067
100603,1,student,1,18291,0
100604,1,employed,1,18625,.20557036
100605,1,unemployed,1,0,.98260581
100606,0,unemployed,1,0,.93528634
100607,1,employed,0,17736,.33227226
100608,1,employed,1,8138,0
100609,0,retired,1,6052,.26996574
100610,0,student,0,0,0
100611,1,employed,1,41502,.54372257
100612,0,employed,1,8786,.61380261
100613,1,student,1,0,.64653718
100614,0,employed,1,4002,0
100615,0,employed,1,6370,.61000872
100616,1,employed,1,12756,.72612464
100617,1,employed,1,6417,.57304645
100618,1,employed,0,10626,.59281969
100619,0,employed,0,6180,.51640791
100620,1,employed,1,7451,.74253833
100621,0,employed,1,16373,.56040323
100622,0,employed,1,7042,.6995846
100623,0,unemployed,1,28733,0
100624,0,employed,1,10432,.78998947
100625,0,employed,1,10073,.35869092
100626,1,employed,1,10620,0
100627,1,employed,0,39169,.097041711
100628,0,unemployed,1,5594,0
100629,1,employed,1,15123,.61877149
100630,1,employed,1,9746,.57795209
100631,1,employed,0,9636,0
100632,0,employed,0,51727,.95469159
100633,1,student,0,0,.42648861
100634,1,retired,1,10747,0
100635,0,unemployed,0,0,.89683515
100636,1,unemployed,1,5409,0
100637,1,employed,1,9944,.38429558
100638,1,employed,0,19041,.77213949
100639,0,unemployed,1,0,.92296541
100640,0,retired,1,33092,.10938749
100641,0,student,0,0,.096819744
100642,1,student,0,0,.96486545
100643,1,retired,0,3470,.31984138
100644,0,student,0,0,.35465845
100645,1,employed,1,11095,.16194162
100646,1,employed,0,7915,.86776936
100647,0,employed,0,10087,0
100648,1,retired,0,11608,.31536365
100649,1,retired,0,12218,.26335537
100650,1,employed,1,14795,0
100651,1,employed,1,15600,.56158096
100652,0,employed,0,8120,.33612412
100653,0,retired,0,7083,0
100654,1,student,0,0,.90119624
100655,0,employed,1,13160,.5384984
100656,0,student,0,0,0
100657,0,unemployed,1,0,.39162287
100658,1,employed,1,66321,.98409784
100659,1,retired,1,13065,.22049446
100660,0,employed,1,38923,0
100661,0,employed,1,23821,.10046145
100662,1,employed,1,9501,.84593213
100663,1,employed,0,27908,.71287787
100664,0,student,0,26385,.88847136
100665,0,retired,1,56829,0
100666,0,employed,0,7484,.73593074
100667,1,employed,1,6073,.59662843
100668,0,employed,1,8379,.76571399
100669,1,student,1,7471,.86251473
100670,0,employed,1,4609,0
100671,1,employed,0,17864,0
100672,0,employed,1,6252,.72065479
100673,1,employed,0,31302,.24954122
100674,0,student,0,0,.79065955
100675,1,student,1,0,.66741973
100676,0,employed,1,4692,.93462741
100677,0,unemployed,1,6293,.9203307
100678,0,student,0,0,.36328161
100679,1,employed,0,26600,.65390676
100680,1,employed,0,111117,.10296307
100681,0,unemployed,1,0,.8918395
100682,1,employed,1,27640,.64876252
100683,1,unemployed,1,0,0
100684,1,student,0,4696,.82726204
100685,0,unemployed,1,0,.53960341
100686,1,employed,1,10348,.89557946
100687,1,employed,1,26780,.44756261
100688,0,student,0,0,.80711788
100689,1,employed,0,10415,.58216566
100690,1,employed,0,9573,.27440581
100691,1,student,0,0,.78479469
100692,0,retired,0,3853,0
100693,1,unemployed,1,11719,0
100694,0,employed,1,28749,.45163301
100695,1,employed,0,31948,.32616168
100696,1,employed,0,10253,.51690805
100697,1,student,0,7754,.96929371
100698,1,employed,1,29914,.86603177
100699,1,employed,1,10703,.97313255
100700,0,retired,1,3951,0
100701,1,student,0,0,0
100702,1,employed,1,8024,0
100703,1,employed,0,13538,.79952753
100704,1,employed,1,28165,.44703251
100705,1,employed,1,40605,0
100706,0,employed,1,8034,.80792785
100707,0,employed,0,7255,0
100708,1,unemployed,0,0,.40002275
100709,1,student,0,0,.76356947
100710,1,employed,1,6278,0
100711,1,employed,1,23056,0
100712,1,student,0,7421,.36667019
100713,0,student,0,0,.55806017
100714,0,employed,1,5203,.52687305
100715,0,employed,1,36986,0
100716,0,retired,0,3138,0
100717,0,student,0,0,.94219989
100718,0,unemployed,0,0,.38996422
100719,0,employed,1,9792,0
100720,0,employed,1,7807,.55748647
100721,1,employed,0,12599,.089362465
100722,1,student,0,33514,.9076463
100723,1,employed,1,7204,0
100724,1,student,0,0,.82271546
100725,0,unemployed,1,0,.87676895
100726,1,employed,1,59582,0
100727,0,unemployed,0,17223,.48784012
100728,0,student,0,0,.89185786
100729,0,employed,1,27717,.43249464
100730,1,employed,0,138806,.53603148
100731,0,employed,1,11276,.22212435
100732,0,employed,1,10124,0
100733,1,student,0,40927,.28136998
100734,1,employed,1,18575,.042515393
100735,1,unemployed,1,0,.63190323
100736,1,employed,1,15160,.54880589
100737,0,unemployed,1,10846,.54949802
100738,1,employed,1,26792,.61978036
100739,0,employed,1,6642,0
100740,0,employed,1,5231,.079050697
100741,1,student,0,0,.80372459
100742,1,employed,1,15434,.010631149
100743,1,employed,1,21284,.72696704
100744,1,student,0,0,.88698602
100745,1,employed,1,36792,0
100746,1,unemployed,0,0,.7020852
100747,1,employed,0,105843,.32690427
100748,0,unemployed,1,7624,.97666198
100749,1,employed,1,5033,0
100750,1,employed,1,7653,.39211732
100751,0,employed,1,43138,0
100752,1,employed,0,6362,.56485528
100753,0,employed,0,11987,.5042305
100754,0,employed,1,22390,.60496312
100755,0,employed,0,11995,.0014642081
100756,0,student,1,0,.66081142
100757,0,employed,1,13727,.46717238
100758,0,employed,1,26103,.35755351
100759,1,employed,1,11523,.15212432
100760,1,employed,0,68164,.45074964
100761,1,employed,0,29500,.78324109
100762,0,student,0,10326,.92986703
100763,1,employed,1,7144,0
100764,0,employed,1,29375,.049079504
100765,1,employed,1,9949,.7142505
100766,1,employed,1,6246,.80843365
100767,0,retired,1,4796,0
100768,0,retired,1,42942,.21922012
100769,0,employed,1,26820,.07919763
100770,1,employed,1,42561,.55092096
100771,0,employed,0,9358,0
100772,0,employed,0,35392,.4113563
100773,1,employed,1,22989,0
100774,0,employed,1,6623,0
100775,1,employed,1,263699,.66714644
100776,1,employed,1,7674,.076123163
100777,1,employed,0,12570,.93212986
100778,1,employed,1,33558,.15247038
100779,1,student,1,0,.22574596
100780,1,employed,0,9248,.35043427
100781,1,employed,1,17548,.78987986
100782,1,retired,1,4207,.12667362
100783,1,employed,1,15217,.25516948
100784,1,employed,0,56371,.025291979
100785,1,retired,0,8261,.25729978
100786,0,employed,1,11505,.5466699
100787,1,employed,1,18579,.78785658
100788,1,employed,0,12371,.15341577
100789,1,employed,1,14062,0
100790,0,student,1,0,.22799474
100791,0,employed,1,56540,0
100792,1,employed,1,8940,.58541363
100793,1,retired,1,4310,.23453963
100794,1,employed,1,9441,.91672564
100795,1,student,0,10212,.74813241
100796,1,employed,1,11183,.1335863
100797,1,employed,1,23611,.1687492
100798,1,employed,1,13025,0
100799,1,employed,1,7137,.16305049
100800,0,unemployed,1,18665,.90559727
100801,1,student,0,30521,.0061484613
100802,1,student,0,0,.87982887
100803,1,unemployed,1,0,.56154156
100804,0,employed,1,5758,0
100805,1,retired,1,29815,0
100806,1,employed,1,16762,0
100807,1,employed,1,7606,.77674097
100808,0,employed,1,6673,0
100809,1,student,0,0,.90219718
