id,own,competing1,competing2,borrowertype,accepted,default,profit
388,,.35920644,.40538433,2,0,1,
389,.080405608,.13749488,.056808278,3,0,0,
390,.12440383,.069184594,.047432709,2,0,0,
391,,.63947457,.42549983,3,0,0,
392,,.45060992,,3,0,1,
393,.027129751,.13193537,.10320249,1,1,0,271.29752
394,,,,2,0,1,
395,,,,1,0,1,
396,.072377652,.076954126,.12473911,1,0,0,
397,.25855619,.24087264,.43994671,1,0,0,
398,.032698888,.022407696,.11346944,3,1,0,326.98889
399,.23371232,.8868522,.14293511,1,0,0,
400,.25890118,.36462235,.26772332,2,0,0,
401,,.58505672,,2,0,0,
402,.094334967,.14146188,.15799434,1,1,0,943.34967
403,.18866518,.053931184,.12440314,2,0,0,
404,,.080416411,.15309912,1,0,0,
405,.171479,.59489232,.19304584,3,1,1,-10000
406,,.17942627,.18052386,1,0,0,
407,,.93802863,.4241187,3,0,1,
408,,.38722119,.62194592,2,0,0,
409,,.55962491,,2,0,0,
410,,.98285347,,3,0,0,
411,,.44218528,.55566037,3,0,0,
412,,,.02090059,2,0,1,
413,.1098665,.1655487,.22534941,1,1,0,1098.665
414,,.52633816,.26763979,1,0,1,
415,,.14503324,.25695252,3,0,0,
416,,.47339353,.020873353,2,0,1,
417,.046698831,.043098126,.027384022,1,0,0,
418,.077732429,.30599475,.60722846,1,1,0,777.32428
419,,.31033096,.46979031,1,0,0,
420,,,.11177746,1,0,0,
421,,.10806464,.09826304,2,0,0,
422,.023871845,.042289168,.058622275,2,1,0,238.71844
423,.27150139,.24419168,.23761483,2,0,0,
424,.25694257,.44765687,.14935926,2,0,0,
425,,,,1,0,1,
426,,,.42016035,2,0,1,
427,.02660574,.08573328,.021067662,3,1,0,266.0574
428,,.12908201,.12613997,3,0,0,
429,.21999049,.37981349,.58908123,3,1,0,2199.905
430,,,,3,0,0,
431,.17678718,.035399936,.14480831,1,0,0,
432,.1062777,.050249778,.099954374,1,0,0,
433,,,.17583866,2,0,0,
434,,.48003587,.17348625,1,0,0,
435,,.26382813,,3,0,0,
436,,.23196,.17935818,1,0,1,
437,,.18359292,.20894536,3,0,0,
438,,,.11472585,2,0,1,
439,.11287817,.52368629,.1606304,2,1,0,1128.7817
440,.031612124,.027626518,.072940342,2,0,0,
441,.15967232,.049068924,.020906392,2,0,0,
442,,.41752243,,3,0,0,
443,.11415011,.074386641,.25041604,2,0,0,
444,.050978269,.056094375,.032339927,1,0,0,
445,,.40133753,.23512442,1,0,1,
446,,.74036193,.47563112,3,0,0,
447,.090701424,.073823139,.056791861,2,0,0,
448,.12897408,.11523709,.14993462,1,0,0,
449,,,.11365947,3,0,1,
450,.075824313,.066409938,.056865811,3,1,0,758.2431
451,,.12173189,.36913538,1,0,1,
452,,.4074221,.1806324,3,0,0,
453,.092940599,.11347392,.36895552,1,1,0,929.40601
454,,.62343514,.60130638,3,0,0,
455,,,.4508206,3,0,1,
456,.14726357,.1117492,.088440515,2,0,0,
457,,.54807568,.18191235,3,0,1,
458,.19894221,.26965046,.27223197,2,1,0,1989.4221
459,.19922546,.27192709,.21750005,2,0,0,
460,.025940897,.056415375,.10591125,1,1,0,259.40897
461,.12583464,.49179843,.23817194,2,1,0,1258.3464
462,,.35629168,.57308626,2,0,0,
463,.145302,.13037117,.23738877,3,1,0,1453.02
464,.14814264,.11471632,.14117551,1,0,0,
465,,,.1918247,1,0,1,
466,.25909847,.18754105,.22511874,3,0,0,
467,,.2443296,.33390754,2,0,1,
468,,,.23337689,2,0,0,
469,,.31949466,.46103629,1,0,0,
470,,.19289109,.12908262,3,0,0,
471,,,.51003593,1,0,1,
472,,.69586271,.20625702,3,0,0,
473,,,.54345691,2,0,0,
474,,.50628978,.82198834,1,0,1,
475,,.6267435,.74046731,1,0,1,
476,.2312685,.4458701,.39173523,1,1,0,2312.6851
477,.099831425,.085213326,.020815033,3,0,0,
478,.055205237,.074849918,.086492985,1,0,0,
479,,.44015497,,1,0,0,
480,,,.10897685,1,0,0,
481,.22843096,,.25571325,3,1,0,2284.3096
482,,.46619955,.53837138,3,0,0,
483,,,.15158714,3,0,0,
484,,.47780809,.020862214,1,0,0,
485,.14768048,.15529251,.23366712,3,1,0,1476.8048
486,.041994389,.049073622,.020335365,2,0,0,
487,,,.48959711,1,0,0,
488,.049739417,.05982535,.036800422,3,1,1,-10000
489,,.27554694,.32879314,1,0,0,
490,,.40429559,.15443441,1,0,0,
491,,.32147011,.54141217,3,0,1,
492,.26799786,.31273791,,1,1,0,2679.9785
493,,.9093737,,1,0,1,
494,,.29491311,.3543711,2,0,1,
495,,.30288956,,2,0,0,
496,,.12929864,.093267038,1,0,0,
497,,.1323368,.27628222,2,0,0,
498,.074829876,,.066690668,2,0,0,
499,.038422301,.030779522,.020040456,3,1,0,384.22302
500,,.12489405,.39106944,1,0,0,
501,,,.22012457,1,0,1,
502,.18741289,.15696013,.10195781,2,0,1,
503,,.58876234,.18015057,2,0,1,
504,,.28750321,,1,0,0,
505,,,.55715084,3,0,0,
506,.073493212,.034679804,.084052272,3,0,0,
507,,.33486819,.19796576,3,0,0,
508,.18888058,.1876633,.020614808,1,0,0,
509,,.44981056,.020821882,2,0,0,
510,,.27175936,,1,0,0,
511,,.12799102,.10206005,3,0,0,
512,,.59124994,,1,0,0,
513,,.11768248,.21801473,2,0,0,
514,,.28614131,,2,0,1,
515,,.81763053,.22932692,2,0,0,
516,.26868397,.42428899,.85026413,3,1,0,2686.8396
517,.075730175,.069407962,.11925871,3,1,0,757.30176
518,,.36558452,.18403123,2,0,0,
519,,.19332898,.31625605,3,0,1,
520,.057664122,.080238044,.022117691,3,0,0,
521,,.5560872,.18069303,2,0,0,
522,,.47911817,.53916126,3,0,0,
523,,.46518812,.21434978,3,0,0,
524,.15280555,.1868645,.19993669,3,1,0,1528.0555
525,,.31770876,.93532246,2,0,0,
526,.083188415,.072396375,.17946024,3,1,0,831.88416
527,.12873858,.11477441,.35035476,2,0,0,
528,,.16394164,.23093249,3,0,0,
529,,,.73649359,3,0,0,
530,,.63313091,.18973069,2,0,0,
531,,.20237534,.095111392,2,0,0,
532,.18604222,.12539947,.58889204,3,0,0,
533,,,,3,0,1,
534,,,.16080037,3,0,0,
535,,,,3,0,0,
536,,.0836889,.13339555,1,0,0,
537,.10265391,.063740037,.16510871,2,0,0,
538,,,,2,0,1,
539,.022454845,.53610605,.021554571,1,0,0,
540,,.46566138,,1,0,0,
541,,.27053744,.71916538,1,0,0,
542,.15101585,.16366795,.020159908,2,0,0,
543,.044079185,.074481085,.17056456,1,1,0,440.79184
544,.095198102,.064045444,.27736765,2,0,0,
545,,,,2,0,0,
546,,.099640727,.21754126,2,0,0,
547,.26104763,.085724428,.15547162,3,0,0,
548,,,.9431352,3,0,1,
549,,,.59833539,2,0,1,
550,.03072061,.030056156,.020000858,1,0,0,
551,,,.19556524,3,0,0,
552,,,.53008598,2,0,0,
553,,.35796556,.13222201,1,0,1,
554,,.43921748,.021879306,2,0,0,
555,,,.84869456,1,0,0,
556,.23199414,.13075472,.23098242,2,0,0,
557,,.45403552,.46856105,2,0,0,
558,.16166258,.20171086,.37578329,1,1,0,1616.6257
559,,.28569072,.28831178,1,0,0,
560,.24427484,.080453195,.21152334,1,0,0,
561,.14623024,.094707564,.029065132,3,0,0,
562,.071268529,.058629744,.19388241,1,0,1,
563,,.22950645,.52752858,1,0,0,
564,,.75974083,.020912377,2,0,0,
565,,,.4459798,1,0,0,
566,.28841838,.35255313,.13579801,3,0,0,
567,.26732606,.15022166,.38149852,2,0,1,
568,.073797897,.22140971,.16054708,3,1,0,737.97894
569,.049169526,.092363194,.097846068,1,1,0,491.69525
570,,.53797209,.35085383,3,0,0,
571,.22775817,.34249696,.10091699,3,0,1,
572,.25543049,.32013792,.97586167,1,1,0,2554.3049
573,,.28754514,.2249756,2,0,0,
574,,,.021920968,1,0,1,
575,,.30323625,.45911613,2,0,1,
576,,.49834818,,3,0,0,
577,.086876221,.13348392,.020539515,3,0,0,
578,,,.24545397,3,0,0,
579,,.39142907,.44865492,1,0,0,
580,,.52787316,.1178269,1,0,0,
581,,.7125411,.3353349,1,0,0,
582,,,,1,0,1,
583,,,.55364573,3,0,0,
584,.25273284,.26118019,.02077865,1,0,0,
585,,,.176965,3,0,1,
586,.12132832,.046130784,.10442106,2,0,0,
587,,,.70893282,1,0,1,
588,.16933554,.058900241,.14097376,2,0,0,
589,.031612124,.034793671,.048910376,1,0,0,
590,,.83123749,,3,0,0,
591,,.12892839,.56336778,2,0,0,
592,,,.80900246,1,0,0,
593,,,,1,0,0,
594,.062276632,.044458702,.085148022,2,0,0,
595,,,.16107997,2,0,1,
596,,.26918423,.74800521,2,0,0,
597,.065690599,.16587862,.17668408,1,1,0,656.90601
598,,,.40966019,1,0,1,
599,.14925577,.11352728,.19003406,3,0,0,
600,,.24003266,.32352418,1,0,0,
601,,.54803455,.18834725,3,0,0,
602,.094486333,.35978284,.65644878,3,1,0,944.86334
603,.15271525,.29118049,.48605436,3,1,0,1527.1525
604,,,,2,0,0,
605,,.13345338,.17304149,1,0,0,
606,,.17300871,.82487166,2,0,0,
607,,.58069265,.52997077,3,0,0,
608,,,.77562237,2,0,1,
609,,.12874578,.19953439,2,0,1,
610,.10724083,.10381994,.22282562,3,1,0,1072.4082
611,.10215709,.12865333,.12783723,3,1,0,1021.5709
612,,.40477714,,1,0,1,
613,,,,3,0,1,
614,,.46732125,.58608335,2,0,0,
615,,.31730357,.68440509,3,0,0,
616,,.33151078,.16589427,3,0,0,
617,,,,3,0,0,
618,,,,3,0,0,
619,,,,3,0,0,
620,,.082828581,.16430347,2,0,0,
621,,.51213354,.73996288,3,0,0,
622,,,.71683252,3,0,0,
623,,,.48042613,1,0,1,
624,,.75949085,,2,0,0,
625,,.27786642,.99789083,1,0,0,
626,,,.14615574,2,0,1,
627,,.34139946,.44847226,1,0,0,
628,,.61519212,.47447747,3,0,0,
629,,,.92802113,2,0,0,
630,,.23855789,.28947234,1,0,0,
631,,.14629924,.13665932,1,0,0,
632,,,,3,0,0,
633,,,,3,0,1,
634,.10512161,.12320726,.33017206,1,0,0,
635,,.94620293,.48373133,3,0,0,
636,.030510874,.042844631,.020240331,2,0,0,
637,,.39804387,.27689075,1,0,0,
638,,.67019731,.22078852,3,0,0,
639,,.59622049,,3,0,0,
640,.16068943,.19827704,.1676743,2,0,0,
641,,.43826026,.020819226,1,0,1,
642,.11137708,.13645329,.13802336,2,1,0,1113.7708
643,,.47797453,.21671516,2,0,0,
644,.060598627,.021464983,.046677597,3,0,0,
645,.021715315,.0054408074,.019999009,2,0,0,
646,,.24423027,.17165309,2,0,0,
647,.088705048,.076054059,.20197017,3,1,1,-10000
648,,,,2,0,0,
649,,,,1,0,0,
650,,.068022698,.2816067,1,0,1,
651,.022861414,.015774174,.014929656,1,0,0,
652,,,,2,0,0,
653,.067079149,.068104029,.020490026,2,0,0,
654,,.98991847,.454115,3,0,0,
655,,.34079197,.39500403,2,0,1,
656,,.46779591,,3,0,0,
657,,.39930344,.020986214,3,0,1,
658,.16117774,.17680635,.23474562,3,1,0,1611.7773
659,,,.87435257,2,0,0,
660,,,,2,0,1,
661,,.92444479,.48300946,2,0,1,
662,.023224432,.04993102,.077330112,1,1,0,232.24432
663,,.27175936,.51307744,1,0,0,
664,,.37477443,.45493305,2,0,0,
665,,.31705484,,2,0,0,
666,.21398987,.085362375,.12690748,2,0,0,
667,.14283995,.080860913,.16718715,3,0,0,
668,.16937815,.055462722,.24092709,1,0,0,
669,,.15843062,.020929284,3,0,0,
670,,.29917419,.32627374,1,0,1,
671,,.36605403,,1,0,0,
672,,,.34912145,2,0,0,
673,.09169206,.17471257,.13808776,2,1,1,-10000
674,.17799802,.35730261,.17181347,1,0,0,
675,,.51531148,.26225525,1,0,0,
676,,.20550832,.52433622,1,0,1,
677,,.58794218,,2,0,0,
